类别,股票代码,日期,快线强弱,红柱数量,大陆代码
golden,000002,2019-07-19,up0,2,sz.000002
golden,000011,2019-07-19,down0,2,sz.000011
golden,000029,2019-07-26,down0,1,sz.000029
golden,000031,2019-07-26,up0,1,sz.000031
golden,000037,2019-07-26,up0,1,sz.000037
golden,000043,2018-11-09,down0,37,sz.000043
golden,000090,2019-07-19,up0,2,sz.000090
golden,000157,2018-12-07,down0,33,sz.000157
golden,000408,2019-07-19,down0,2,sz.000408
golden,000416,2019-07-26,up0,1,sz.000416
golden,000425,2019-07-19,up0,2,sz.000425
golden,000430,2019-07-26,down0,1,sz.000430
golden,000520,2019-07-26,up0,1,sz.000520
golden,000526,2019-07-26,down0,1,sz.000526
golden,000536,2019-07-19,up0,2,sz.000536
golden,000571,2019-07-19,down0,2,sz.000571
golden,000597,2019-07-26,down0,1,sz.000597
golden,000603,2019-07-19,up0,2,sz.000603
golden,000611,2019-07-05,down0,4,sz.000611
golden,000620,2019-07-12,down0,3,sz.000620
golden,000666,2019-07-26,down0,1,sz.000666
golden,000672,2019-07-19,up0,2,sz.000672
golden,000681,2019-07-26,down0,1,sz.000681
golden,000718,2019-07-12,up0,3,sz.000718
golden,000725,2019-07-19,up0,2,sz.000725
golden,000738,2019-07-19,up0,2,sz.000738
golden,000768,2019-07-26,up0,1,sz.000768
golden,000779,2019-07-12,up0,3,sz.000779
golden,000799,2019-06-21,up0,6,sz.000799
golden,000833,2019-07-19,up0,2,sz.000833
golden,000915,2019-07-19,up0,2,sz.000915
golden,000918,2019-07-19,down0,2,sz.000918
golden,000938,2019-07-19,down0,2,sz.000938
golden,000950,2019-07-19,down0,2,sz.000950
golden,000963,2019-07-05,down0,4,sz.000963
golden,000983,2019-07-26,up0,1,sz.000983
golden,000988,2019-06-28,up0,5,sz.000988
golden,001872,2019-07-19,up0,2,sz.001872
golden,001965,2019-07-26,down0,1,sz.001965
golden,002001,2019-07-05,up0,4,sz.002001
golden,002010,2019-07-05,down0,4,sz.002010
golden,002011,2019-07-26,down0,1,sz.002011
golden,002025,2019-07-26,down0,1,sz.002025
golden,002030,2019-07-26,down0,1,sz.002030
golden,002036,2019-07-19,up0,2,sz.002036
golden,002045,2019-07-26,down0,1,sz.002045
golden,002049,2019-07-26,up0,1,sz.002049
golden,002068,2019-07-12,down0,3,sz.002068
golden,002073,2019-07-05,up0,4,sz.002073
golden,002078,2019-07-05,down0,4,sz.002078
golden,002080,2019-07-19,up0,2,sz.002080
golden,002081,2019-07-26,up0,1,sz.002081
golden,002119,2019-07-26,up0,1,sz.002119
golden,002120,2018-12-28,down0,30,sz.002120
golden,002136,2019-07-12,down0,3,sz.002136
golden,002138,2019-07-12,up0,3,sz.002138
golden,002179,2019-02-22,down0,23,sz.002179
golden,002182,2019-07-26,up0,1,sz.002182
golden,002190,2019-07-26,up0,1,sz.002190
golden,002193,2019-07-12,down0,3,sz.002193
golden,002201,2019-07-26,up0,1,sz.002201
golden,002202,2019-07-12,up0,3,sz.002202
golden,002230,2019-07-26,up0,1,sz.002230
golden,002236,2019-07-19,down0,2,sz.002236
golden,002241,2019-07-19,up0,2,sz.002241
golden,002252,2019-03-08,down0,21,sz.002252
golden,002262,2019-07-05,down0,4,sz.002262
golden,002273,2019-07-26,up0,1,sz.002273
golden,002275,2019-07-26,up0,1,sz.002275
