类别,股票代码,日期,快线强弱,红柱数量,大陆代码
golden,000007,2019-07-24,down0,5,sz.000007
golden,000008,2019-07-29,down0,2,sz.000008
golden,000009,2019-07-24,down0,5,sz.000009
golden,000018,2019-07-30,down0,1,sz.000018
golden,000021,2019-07-25,down0,4,sz.000021
golden,000029,2019-07-26,down0,3,sz.000029
golden,000030,2019-07-24,down0,5,sz.000030
golden,000034,2019-07-26,down0,3,sz.000034
golden,000036,2019-07-24,down0,5,sz.000036
golden,000037,2019-07-26,up0,3,sz.000037
golden,000043,2019-07-15,up0,12,sz.000043
golden,000049,2019-07-24,down0,5,sz.000049
golden,000055,2019-07-25,down0,4,sz.000055
golden,000060,2019-07-30,down0,1,sz.000060
golden,000061,2019-07-30,down0,1,sz.000061
golden,000063,2019-07-26,up0,3,sz.000063
golden,000066,2019-07-25,down0,4,sz.000066
golden,000070,2019-07-29,down0,2,sz.000070
golden,000088,2019-07-29,down0,2,sz.000088
golden,000089,2019-07-29,up0,2,sz.000089
golden,000099,2019-07-26,up0,3,sz.000099
golden,000151,2019-07-26,down0,3,sz.000151
golden,000153,2019-07-30,down0,1,sz.000153
golden,000155,2019-07-26,down0,3,sz.000155
golden,000156,2019-07-25,down0,4,sz.000156
golden,000158,2019-07-26,down0,3,sz.000158
golden,000159,2019-07-24,down0,5,sz.000159
golden,000338,2019-07-22,up0,7,sz.000338
golden,000408,2019-07-22,up0,7,sz.000408
golden,000417,2019-07-30,down0,1,sz.000417
golden,000428,2019-07-26,down0,3,sz.000428
golden,000429,2019-07-09,down0,16,sz.000429
golden,000502,2019-07-30,down0,1,sz.000502
golden,000503,2019-07-26,down0,3,sz.000503
golden,000524,2019-07-30,down0,1,sz.000524
golden,000525,2019-07-30,down0,1,sz.000525
golden,000534,2019-07-29,down0,2,sz.000534
golden,000539,2019-07-30,down0,1,sz.000539
golden,000541,2019-07-24,down0,5,sz.000541
golden,000543,2019-07-25,down0,4,sz.000543
golden,000553,2019-07-29,down0,2,sz.000553
golden,000557,2019-07-26,down0,3,sz.000557
golden,000560,2019-07-24,down0,5,sz.000560
golden,000561,2019-07-30,down0,1,sz.000561
golden,000563,2019-07-30,down0,1,sz.000563
golden,000564,2019-07-26,down0,3,sz.000564
golden,000582,2019-07-24,down0,5,sz.000582
golden,000584,2019-07-29,down0,2,sz.000584
golden,000590,2019-07-26,down0,3,sz.000590
golden,000591,2019-07-26,down0,3,sz.000591
golden,000593,2019-07-29,down0,2,sz.000593
golden,000598,2019-07-24,up0,5,sz.000598
golden,000608,2019-07-24,up0,5,sz.000608
golden,000610,2019-07-26,down0,3,sz.000610
golden,000617,2019-07-26,down0,3,sz.000617
golden,000619,2019-07-29,down0,2,sz.000619
golden,000627,2019-07-26,down0,3,sz.000627
golden,000629,2019-07-30,down0,1,sz.000629
golden,000632,2019-07-30,up0,1,sz.000632
golden,000636,2019-07-30,down0,1,sz.000636
golden,000650,2019-07-12,down0,13,sz.000650
golden,000666,2019-07-25,down0,4,sz.000666
golden,000670,2019-07-26,down0,3,sz.000670
golden,000673,2019-07-30,down0,1,sz.000673
golden,000678,2019-07-24,down0,5,sz.000678
golden,000679,2019-07-26,down0,3,sz.000679
golden,000680,2019-07-26,down0,3,sz.000680
golden,000682,2019-07-24,down0,5,sz.000682
golden,000691,2019-07-26,down0,3,sz.000691
golden,000698,2019-07-16,up0,11,sz.000698
golden,000715,2019-07-29,down0,2,sz.000715
golden,000716,2019-07-23,down0,6,sz.000716
golden,000719,2019-07-24,down0,5,sz.000719
