类别,股票代码,日期,快线强弱,红柱数量,大陆代码
golden,000004,2019-03-29,down0,4,sz.000004
golden,000006,2019-06-28,down0,1,sz.000006
golden,000009,2019-02-28,down0,5,sz.000009
golden,000010,2019-03-29,down0,4,sz.000010
golden,000012,2019-04-30,down0,3,sz.000012
golden,000016,2019-04-30,down0,3,sz.000016
golden,000020,2019-04-30,down0,3,sz.000020
golden,000025,2019-04-30,down0,3,sz.000025
golden,000026,2019-03-29,down0,4,sz.000026
golden,000030,2019-03-29,down0,4,sz.000030
golden,000031,2019-03-29,down0,4,sz.000031
golden,000032,2019-02-28,down0,5,sz.000032
golden,000035,2019-06-28,down0,1,sz.000035
golden,000036,2019-04-30,down0,3,sz.000036
golden,000039,2019-04-30,down0,3,sz.000039
golden,000043,2019-03-29,down0,4,sz.000043
golden,000045,2019-03-29,down0,4,sz.000045
golden,000048,2019-06-28,down0,1,sz.000048
golden,000050,2019-03-29,down0,4,sz.000050
golden,000059,2019-06-28,down0,1,sz.000059
golden,000060,2019-04-30,down0,3,sz.000060
golden,000061,2019-01-31,down0,6,sz.000061
golden,000063,2019-03-29,up0,4,sz.000063
golden,000066,2019-02-28,down0,5,sz.000066
golden,000069,2019-04-30,down0,3,sz.000069
golden,000078,2019-05-31,down0,2,sz.000078
golden,000090,2019-04-30,down0,3,sz.000090
golden,000099,2019-02-28,down0,5,sz.000099
golden,000153,2019-03-29,down0,4,sz.000153
golden,000155,2019-05-31,down0,2,sz.000155
golden,000157,2019-02-28,down0,5,sz.000157
golden,000158,2019-04-30,down0,3,sz.000158
golden,000333,2019-06-28,up0,1,sz.000333
golden,000338,2019-02-28,up0,5,sz.000338
golden,000401,2019-02-28,down0,5,sz.000401
golden,000402,2019-04-30,down0,3,sz.000402
golden,000404,2019-03-29,down0,4,sz.000404
golden,000413,2019-05-31,down0,2,sz.000413
golden,000415,2019-04-30,down0,3,sz.000415
golden,000416,2019-02-28,down0,5,sz.000416
golden,000417,2019-05-31,down0,2,sz.000417
golden,000419,2019-03-29,down0,4,sz.000419
golden,000420,2019-03-29,down0,4,sz.000420
golden,000425,2019-03-29,down0,4,sz.000425
golden,000428,2019-02-28,down0,5,sz.000428
golden,000430,2019-04-30,down0,3,sz.000430
golden,000505,2019-05-31,down0,2,sz.000505
golden,000506,2019-04-30,down0,3,sz.000506
golden,000509,2019-04-30,down0,3,sz.000509
golden,000510,2019-06-28,down0,1,sz.000510
golden,000514,2019-04-30,down0,3,sz.000514
golden,000517,2019-04-30,down0,3,sz.000517
golden,000519,2019-03-29,down0,4,sz.000519
golden,000520,2019-02-28,down0,5,sz.000520
golden,000521,2019-03-29,down0,4,sz.000521
golden,000523,2019-03-29,down0,4,sz.000523
golden,000524,2019-04-30,down0,3,sz.000524
golden,000530,2019-03-29,down0,4,sz.000530
golden,000531,2019-02-28,down0,5,sz.000531
golden,000544,2019-06-28,down0,1,sz.000544
golden,000545,2019-03-29,down0,4,sz.000545
golden,000554,2019-03-29,down0,4,sz.000554
golden,000555,2019-02-28,down0,5,sz.000555
golden,000559,2019-04-30,down0,3,sz.000559
golden,000561,2019-03-29,down0,4,sz.000561
golden,000565,2019-03-29,down0,4,sz.000565
golden,000568,2019-04-30,up0,3,sz.000568
golden,000570,2019-02-28,down0,5,sz.000570
golden,000573,2019-03-29,down0,4,sz.000573
golden,000582,2019-02-28,down0,5,sz.000582
golden,000586,2019-04-30,down0,3,sz.000586
golden,000589,2019-02-28,down0,5,sz.000589
golden,000591,2019-03-29,down0,4,sz.000591
golden,000593,2019-03-29,down0,4,sz.000593
golden,000595,2019-06-28,down0,1,sz.000595
golden,000596,2019-03-29,up0,4,sz.000596
golden,000598,2019-02-28,down0,5,sz.000598
golden,000599,2019-04-30,down0,3,sz.000599
golden,000601,2019-04-30,down0,3,sz.000601
golden,000603,2019-02-28,down0,5,sz.000603
golden,000609,2019-04-30,down0,3,sz.000609
golden,000612,2019-05-31,down0,2,sz.000612
golden,000619,2019-03-29,down0,4,sz.000619
golden,000620,2019-06-28,down0,1,sz.000620
golden,000623,2019-04-30,down0,3,sz.000623
golden,000626,2019-02-28,down0,5,sz.000626
golden,000627,2019-06-28,down0,1,sz.000627
golden,000630,2019-03-29,down0,4,sz.000630
golden,000632,2019-04-30,down0,3,sz.000632
golden,000633,2019-03-29,down0,4,sz.000633
golden,000638,2019-02-28,down0,5,sz.000638
golden,000651,2019-04-30,up0,3,sz.000651
golden,000652,2019-02-28,down0,5,sz.000652
golden,000655,2019-02-28,down0,5,sz.000655
golden,000657,2019-04-30,down0,3,sz.000657
golden,000661,2019-03-29,up0,4,sz.000661
golden,000663,2019-06-28,down0,1,sz.000663
golden,000665,2019-02-28,down0,5,sz.000665
golden,000668,2019-02-28,down0,5,sz.000668
golden,000672,2019-04-30,up0,3,sz.000672
golden,000679,2019-03-29,down0,4,sz.000679
golden,000685,2019-03-29,down0,4,sz.000685
golden,000687,2019-04-30,down0,3,sz.000687
golden,000692,2019-04-30,down0,3,sz.000692
golden,000698,2019-04-30,down0,3,sz.000698
golden,000700,2019-03-29,down0,4,sz.000700
golden,000701,2019-03-29,down0,4,sz.000701
golden,000708,2019-02-28,down0,5,sz.000708
golden,000712,2019-02-28,down0,5,sz.000712
golden,000713,2019-03-29,down0,4,sz.000713
golden,000715,2019-03-29,down0,4,sz.000715
golden,000718,2018-12-28,down0,7,sz.000718
golden,000720,2019-01-31,down0,6,sz.000720
golden,000722,2019-03-29,down0,4,sz.000722
golden,000729,2019-04-30,down0,3,sz.000729
golden,000731,2019-03-29,down0,4,sz.000731
golden,000733,2019-02-28,down0,5,sz.000733
golden,000751,2019-03-29,down0,4,sz.000751
golden,000756,2019-06-28,down0,1,sz.000756
golden,000758,2019-03-29,down0,4,sz.000758
golden,000759,2019-04-30,down0,3,sz.000759
golden,000761,2019-04-30,down0,3,sz.000761
golden,000762,2019-06-28,down0,1,sz.000762
